time,open,high,low,close,tick_volume,spread,real_volume
2025-11-03 01:00:00,3982.53,3998.25,3982.53,3995.46,2164,18,0
2025-11-03 01:05:00,3995.62,3997.0,3990.69,3992.64,1023,18,0
2025-11-03 01:10:00,3992.64,3996.54,3991.89,3996.54,773,18,0
2025-11-03 01:15:00,3996.28,3998.81,3992.45,3993.96,921,18,0
2025-11-03 01:20:00,3993.92,3994.38,3988.13,3993.51,847,18,0
2025-11-03 01:25:00,3993.54,3995.89,3993.54,3994.76,628,18,0
2025-11-03 01:30:00,3994.19,3995.78,3990.76,3991.39,717,18,0
2025-11-03 01:35:00,3991.4,3992.57,3983.86,3987.41,1458,18,0
2025-11-03 01:40:00,3987.34,3987.62,3978.52,3979.16,1452,18,0
2025-11-03 01:45:00,3979.23,3981.39,3977.81,3981.16,940,18,0
2025-11-03 01:50:00,3981.16,3985.25,3978.11,3980.8,945,18,0
2025-11-03 01:55:00,3980.8,3983.27,3978.28,3980.49,462,18,0
2025-11-03 02:00:00,3979.95,3987.73,3978.23,3979.79,952,18,0
2025-11-03 02:05:00,3979.84,3980.49,3978.07,3978.16,502,18,0
2025-11-03 02:10:00,3978.4,3979.93,3966.68,3968.35,731,18,0
2025-11-03 02:15:00,3968.42,3969.96,3962.84,3963.68,1571,18,0
2025-11-03 02:20:00,3963.38,3973.05,3962.59,3971.2,1046,18,0
2025-11-03 02:25:00,3971.21,3972.67,3969.64,3970.58,603,18,0
2025-11-03 02:30:00,3970.61,3970.61,3963.38,3966.51,714,18,0
2025-11-03 02:35:00,3966.56,3973.96,3966.27,3973.51,722,18,0
2025-11-03 02:40:00,3973.46,3977.54,3971.8,3972.54,997,18,0
2025-11-03 02:45:00,3972.54,3976.65,3971.37,3974.09,969,18,0
2025-11-03 02:50:00,3974.12,3975.82,3968.25,3968.67,825,18,0
2025-11-03 02:55:00,3968.66,3972.71,3968.13,3971.02,1129,18,0
2025-11-03 03:00:00,3970.83,3973.75,3965.73,3970.15,1978,18,0
2025-11-03 03:05:00,3970.04,3986.52,3969.09,3984.67,1719,18,0
2025-11-03 03:10:00,3984.71,3988.96,3982.58,3986.49,1529,18,0
2025-11-03 03:15:00,3986.53,3993.54,3986.47,3993.25,1538,18,0
2025-11-03 03:20:00,3993.29,3993.29,3987.49,3991.8,1443,18,0
2025-11-03 03:25:00,3991.78,3999.39,3990.02,3998.46,1246,18,0
2025-11-03 03:30:00,3998.8,4001.8,3997.77,3999.74,1227,18,0
2025-11-03 03:35:00,3999.72,4000.69,3994.93,3995.86,1359,18,0
2025-11-03 03:40:00,3995.88,3996.24,3990.2,3991.89,1422,18,0
2025-11-03 03:45:00,3991.92,3995.65,3990.31,3992.85,1323,18,0
2025-11-03 03:50:00,3992.94,3996.84,3992.51,3996.09,1002,18,0
2025-11-03 03:55:00,3996.32,4000.18,3995.97,3995.97,805,18,0
2025-11-03 04:00:00,3995.93,3998.79,3992.56,3993.12,1140,18,0
2025-11-03 04:05:00,3993.18,3993.75,3990.28,3991.77,924,18,0
2025-11-03 04:10:00,3991.75,3995.96,3990.77,3994.92,953,18,0
2025-11-03 04:15:00,3994.92,3999.8,3994.83,3999.8,615,18,0
2025-11-03 04:20:00,3999.54,4006.51,3998.47,3998.65,1358,18,0
2025-11-03 04:25:00,3998.67,3999.31,3995.44,3995.48,807,18,0
2025-11-03 04:30:00,3995.56,4000.96,3995.06,3998.58,976,18,0
2025-11-03 04:35:00,3998.65,4000.7,3997.03,4000.7,910,18,0
2025-11-03 04:40:00,4000.77,4006.19,4000.42,4001.69,1007,18,0
2025-11-03 04:45:00,4002.19,4003.73,3999.0,3999.57,841,18,0
2025-11-03 04:50:00,3999.57,4001.11,3997.82,4000.43,653,18,0
2025-11-03 04:55:00,4000.61,4005.99,3998.88,4003.9,745,18,0
2025-11-03 05:00:00,4003.89,4011.36,4002.23,4007.61,1495,18,0
2025-11-03 05:05:00,4007.67,4008.65,4003.31,4005.67,1082,18,0
2025-11-03 05:10:00,4005.68,4010.21,4005.44,4007.57,1126,18,0
2025-11-03 05:15:00,4007.62,4010.41,4007.5,4008.37,900,18,0
2025-11-03 05:20:00,4008.34,4010.18,4006.99,4008.59,931,18,0
2025-11-03 05:25:00,4008.66,4009.63,4005.62,4006.07,801,18,0
2025-11-03 05:30:00,4006.06,4010.21,4005.39,4010.13,785,18,0
2025-11-03 05:35:00,4010.19,4013.13,4008.64,4011.93,760,18,0
2025-11-03 05:40:00,4011.84,4013.09,4010.75,4010.9,583,18,0
2025-11-03 05:45:00,4010.93,4013.19,4010.93,4012.99,593,18,0
2025-11-03 05:50:00,4012.56,4013.88,4011.4,4013.42,563,18,0
2025-11-03 05:55:00,4013.44,4015.32,4011.39,4011.39,629,18,0
2025-11-03 06:00:00,4011.43,4013.37,4007.64,4007.8,700,18,0
2025-11-03 06:05:00,4007.87,4014.28,4006.83,4013.16,898,18,0
2025-11-03 06:10:00,4013.06,4013.98,4009.34,4009.64,771,18,0
2025-11-03 06:15:00,4009.44,4010.02,4005.0,4005.22,655,18,0
2025-11-03 06:20:00,4005.28,4007.24,4003.26,4004.08,1204,18,0
2025-11-03 06:25:00,4004.0,4005.83,4001.88,4005.53,929,18,0
2025-11-03 06:30:00,4005.63,4005.93,4002.52,4005.13,698,18,0
2025-11-03 06:35:00,4005.13,4006.19,4003.52,4005.87,352,18,0
2025-11-03 06:40:00,4005.42,4007.74,4005.12,4006.96,927,18,0
2025-11-03 06:45:00,4006.95,4007.72,4004.7,4005.49,673,18,0
2025-11-03 06:50:00,4005.55,4006.44,4003.28,4005.57,780,18,0
2025-11-03 06:55:00,4005.61,4005.74,4002.8,4003.8,405,18,0
